item_idx,layer_bt,layer_tr,mean_cos_baseline_vs_trauma,mean_cos_trauma_vs_relaxed,n_pairs_bt,n_pairs_tr
0,0,0,0.6599,0.9984,36,252
1,0,0,0.6596,0.9984,36,252
2,0,0,0.6598,0.9984,36,252
3,0,0,0.6595,0.9984,36,252
4,0,0,0.6594,0.9984,36,252
5,0,0,0.66,0.9984,36,252
6,0,0,0.6597,0.9984,36,252
7,0,0,0.6597,0.9984,36,252
8,0,0,0.6599,0.9984,36,252
9,0,0,0.6597,0.9984,36,252
10,0,0,0.6592,0.9984,36,252
11,0,0,0.6594,0.9984,36,252
12,0,0,0.6594,0.9984,36,252
13,0,0,0.6593,0.9984,36,252
14,0,0,0.66,0.9984,36,252
15,0,0,0.6598,0.9984,36,252
16,0,0,0.6599,0.9984,36,252
17,0,0,0.6599,0.9984,36,252
18,0,0,0.6596,0.9984,36,252
19,0,0,0.6598,0.9984,36,252
