layer,cos_emotional,cos_neutral,cos_relax,n_pairs_emotional,n_pairs_neutral,n_pairs_relax
0,0.6595,0.6606,0.6573,600,120,5040
1,0.6317,0.6315,0.6285,600,120,5040
2,0.568,0.5658,0.5616,600,120,5040
3,0.6267,0.6265,0.6191,600,120,5040
4,0.5985,0.5969,0.5897,600,120,5040
5,0.5852,0.5848,0.5791,600,120,5040
6,0.5736,0.5738,0.5712,600,120,5040
7,0.61,0.6119,0.6057,600,120,5040
8,0.6474,0.6493,0.6479,600,120,5040
9,0.6254,0.6274,0.6275,600,120,5040
10,0.6466,0.6525,0.6441,600,120,5040
11,0.6683,0.6705,0.6686,600,120,5040
12,0.6733,0.677,0.6743,600,120,5040
13,0.6549,0.6543,0.6572,600,120,5040
14,0.6476,0.6405,0.6545,600,120,5040
15,0.6607,0.6558,0.6695,600,120,5040
16,0.6502,0.652,0.6608,600,120,5040
17,0.6238,0.6252,0.6372,600,120,5040
18,0.6653,0.6719,0.6803,600,120,5040
19,0.7046,0.7123,0.7201,600,120,5040
20,0.7313,0.7355,0.7437,600,120,5040
21,0.7478,0.7531,0.7593,600,120,5040
22,0.767,0.7669,0.7699,600,120,5040
23,0.8445,0.84,0.8438,600,120,5040
24,0.8443,0.8415,0.8433,600,120,5040
25,0.8415,0.8374,0.8392,600,120,5040
26,0.8477,0.8417,0.8443,600,120,5040
27,0.8483,0.8336,0.8471,600,120,5040
28,0.855,0.8463,0.8569,600,120,5040
29,0.8651,0.865,0.8678,600,120,5040
30,0.8428,0.8736,0.8552,600,120,5040
31,0.8463,0.8824,0.8637,600,120,5040
32,0.8289,0.8748,0.8522,600,120,5040
33,0.8089,0.8735,0.8384,600,120,5040
34,0.8098,0.8772,0.8407,600,120,5040
35,0.7994,0.8839,0.8404,600,120,5040
36,0.8041,0.888,0.846,600,120,5040
37,0.8014,0.8883,0.844,600,120,5040
38,0.8019,0.8879,0.8442,600,120,5040
39,0.8087,0.8874,0.8484,600,120,5040
40,0.81,0.8866,0.8477,600,120,5040
41,0.8015,0.884,0.8401,600,120,5040
42,0.8001,0.883,0.8382,600,120,5040
43,0.7936,0.8797,0.8334,600,120,5040
44,0.8001,0.8814,0.8376,600,120,5040
45,0.7928,0.8765,0.8318,600,120,5040
46,0.788,0.8738,0.8275,600,120,5040
47,0.7802,0.8675,0.8198,600,120,5040
48,0.7762,0.8628,0.8151,600,120,5040
49,0.7724,0.8567,0.8104,600,120,5040
50,0.7727,0.8557,0.8103,600,120,5040
51,0.7691,0.8515,0.8075,600,120,5040
52,0.7679,0.8493,0.805,600,120,5040
53,0.7748,0.8514,0.8107,600,120,5040
54,0.772,0.8484,0.8079,600,120,5040
55,0.7621,0.8428,0.7995,600,120,5040
56,0.7629,0.8423,0.7989,600,120,5040
57,0.7745,0.8485,0.8087,600,120,5040
58,0.7699,0.8433,0.8048,600,120,5040
59,0.7691,0.8436,0.8045,600,120,5040
60,0.7739,0.8448,0.8083,600,120,5040
61,0.7888,0.8539,0.8206,600,120,5040
62,0.7867,0.8519,0.8185,600,120,5040
63,0.7814,0.8483,0.814,600,120,5040
64,0.7951,0.8573,0.8255,600,120,5040
65,0.7982,0.8591,0.8285,600,120,5040
66,0.7964,0.8564,0.827,600,120,5040
67,0.7908,0.8515,0.8222,600,120,5040
68,0.7997,0.8568,0.8315,600,120,5040
69,0.7991,0.8539,0.8311,600,120,5040
70,0.7828,0.8389,0.8176,600,120,5040
71,0.7949,0.8447,0.8269,600,120,5040
72,0.8019,0.8501,0.8331,600,120,5040
73,0.8048,0.8525,0.8356,600,120,5040
74,0.7929,0.8438,0.8264,600,120,5040
75,0.7945,0.8434,0.8287,600,120,5040
76,0.7771,0.8289,0.8167,600,120,5040
77,0.7536,0.8039,0.7948,600,120,5040
78,0.6918,0.7339,0.7275,600,120,5040
79,0.3423,0.3888,0.3782,600,120,5040
